BJD - 2454833, Corrected Flux
1949.570738322,1.000003652
1949.611601424,0.999996713
1949.652464726,1.000616185
1949.775054333,0.999618305
1949.795486034,0.999772919
1949.815917535,0.999758925
1949.836349136,0.999750749
1949.856780837,0.999650926
1949.877212338,0.999795113
1949.897643839,0.999581039
1949.918075540,0.999753163
1949.979370343,0.999902146
1950.040665146,0.999667883
1950.061096747,0.999320189
1950.081528448,0.999596197
1950.101960049,0.999473985
1950.122391550,0.999609229
1950.204118055,0.999975291
1950.224549656,0.999615704
1950.244981357,1.000154139
1950.265412858,1.000067855
1950.285844459,0.999843726
1950.306276160,1.000187707
1950.326707661,1.000487380
1950.347139262,1.000608742
1950.367570963,1.000230127
1950.388002464,0.999787880
1950.408434165,0.999697956
1950.469728968,0.999849302
1950.490160569,0.999964007
1950.510592070,1.000079958
1950.531023771,0.999855697
1950.551455273,0.999930493
1950.571886974,0.999949977
1950.592318575,1.000293303
1950.612750076,1.000309101
1950.633181777,0.999980564
1950.653613378,0.999834266
1950.714908181,0.999989533
1950.735339782,1.000138337
1950.755771384,0.999887506
1950.776202985,0.999861827
1950.796634686,0.999780820
1950.817066287,0.999891587
1950.857929489,1.000084861
1950.878361091,1.000022374
1950.960087395,0.999481941
1950.980519097,0.999966561
1951.000950698,0.999864815
1951.021382399,1.000150408
1951.041813900,1.000274171
1951.062245502,0.999825041
1951.103108704,0.999892351
1951.123540306,1.000025208
1951.184835110,0.999517397
1951.205266711,1.000283021
1951.246130014,1.000165106
1951.266561515,1.000109947
1951.286993116,0.999910798
1951.307424818,1.000136801
1951.327856419,1.000186859
1951.348287921,1.000437184
1951.368719622,1.000205696
1951.389151224,1.000024734
1951.430014427,0.999850288
1951.470877730,1.000072753
1951.491309231,1.000125067
1951.511740833,1.000258899
1951.532172534,1.000144459
1951.552604036,1.000211988
1951.573035638,1.000313986
1951.593467339,1.000499688
1951.613898841,1.000322975
1951.634330543,1.000097798
1951.675193646,1.000029126
1951.695625348,1.000105054
1951.716056949,1.000281579
1951.736488551,1.000234565
1951.777351755,1.000330367
1951.797783357,1.000316333
1951.818214958,1.000391252
1951.859078162,1.000182313
1951.920372968,1.000009354
1951.940804570,1.000044588
1951.981667874,1.000138108
1952.002099376,1.000427178
1952.022531078,1.000379858
1952.042962680,1.000266242
